CustomerName,Class,Long,Latt,Gallons
1482-8-10 INFINEUM USA L.P.             ,All,-95.26043,29.760794,32930
1490-15-10 ALCM DIV OF FBC CORPORATION   ,All,-81.65009,41.469951,7470
1490-15-10 ALCM DIV OF FBC CORPORATION   ,KENSOL NAPHTHAS               ,-81.65009,41.469951,7470
1490-18-10 SOLVENT & PETROLEUM SERVICE   ,KENSOL NAPHTHAS               ,-76.14747,43.074566,36062
1490-18-10 SOLVENT & PETROLEUM SERVICE   ,All,-76.14747,43.074566,36062
1490-2-10 MID-YORK                      ,All,-75.64678,43.079635,7028
1490-2-10 MID-YORK                      ,KENSOL NAPHTHAS               ,-75.64678,43.079635,7028
1490-24-10 EXIKON INDUSTRIES LLC         ,All,-81.78174,41.459399,64611
1490-24-10 EXIKON INDUSTRIES LLC         ,KENSOL DISTILLATES HT         ,-81.78174,41.459399,32498
1490-24-10 EXIKON INDUSTRIES LLC         ,SPECIALTY PRODUCTS            ,-81.78174,41.459399,32113
1490-3-10 FBC CORPORATION               ,All,-80.03359,40.695658,38070
1490-3-10 FBC CORPORATION               ,KENSOL NAPHTHAS               ,-80.03359,40.695658,38070
1490-4-10 FBC CHEMICAL CORPORATION      ,All,-81.85646,41.139849,187383
1490-4-10 FBC CHEMICAL CORPORATION      ,KENSOL DISTILLATES HT         ,-81.85646,41.139849,118621
1490-4-10 FBC CHEMICAL CORPORATION      ,KENSOL NAPHTHAS               ,-81.85646,41.139849,41514
1490-4-10 FBC CHEMICAL CORPORATION      ,KENDEX 0150 HT                ,-81.85646,41.139849,27248
1490-801-10 FBC CHEMICAL CORP.            ,All,-81.85646,41.139849,295794
1490-801-10 FBC CHEMICAL CORP.            ,KENSOL NAPHTHAS               ,-81.85646,41.139849,295794
1516-801-10 C/0 FEEDCO USA LLC            ,BASE OILS                     ,-97.42739,25.918758,150048
1516-801-10 C/0 FEEDCO USA LLC            ,All,-97.42739,25.918758,150048
1519-701-10 FIELDING ENVIRONMENTAL        ,All,-79.6186,43.5591,15021
1519-701-10 FIELDING ENVIRONMENTAL        ,KENSOL DISTILLATES HT         ,-79.6186,43.5591,15021
1521-2-10 FISKE BROTHERS REFINING       ,SPECIALTY PRODUCTS            ,-83.5104,41.642549,5970
1521-2-10 FISKE BROTHERS REFINING       ,All,-83.5104,41.642549,5970
1536-1-10 FLOW TIME LLC                 ,All,-80.36947,25.837696,367
1536-1-10 FLOW TIME LLC                 ,OCTG                          ,-80.36947,25.837696,367
1543-1-10 FOUR R MARKETING LLC          ,All,-92.7379,33.350296,221736
1543-1-10 FOUR R MARKETING LLC          ,WAXES                         ,-92.7379,33.350296,161562
1543-1-10 FOUR R MARKETING LLC          ,RESINS                        ,-92.7379,33.350296,32686
1543-1-10 FOUR R MARKETING LLC          ,KENSOL DISTILLATES HT         ,-92.7379,33.350296,27488
1543-6-10 CRUCIBLE CHEMICAL CO.         ,All,-82.39289,34.798035,660
1543-6-10 CRUCIBLE CHEMICAL CO.         ,KENSOL DISTILLATES HT         ,-82.39289,34.798035,660
1543-7-10 POLYSOL                       ,All,-90.53,37.844197,5839
1543-7-10 POLYSOL                       ,KENSOL DISTILLATES HT         ,-90.53,37.844197,5839
1552-1-10 FORSYTH DRILLING INC.         ,All,-78.74648,41.125563,7689
1552-1-10 FORSYTH DRILLING INC.         ,FUEL OIL                      ,-78.74648,41.125563,7689
